"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\chcha\Escritorio\Dictionary-app\.eslintrc.cjs", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\chcha\Escritorio\Dictionary-app\README.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 18, 37
"c:\Users\chcha\Escritorio\Dictionary-app\index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\chcha\Escritorio\Dictionary-app\package-lock.json", "JSON", 0, 0, 0, 0, 0, 4944, 0, 0, 1, 4945
"c:\Users\chcha\Escritorio\Dictionary-app\package.json", "JSON", 0, 0, 0, 0, 0, 29, 0, 0, 1, 30
"c:\Users\chcha\Escritorio\Dictionary-app\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\chcha\Escritorio\Dictionary-app\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\chcha\Escritorio\Dictionary-app\src\App.jsx", "JavaScript JSX", 0, 0, 219, 0, 0, 0, 0, 4, 23, 246
"c:\Users\chcha\Escritorio\Dictionary-app\src\assets\images\book.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\chcha\Escritorio\Dictionary-app\src\assets\images\icon-arrow-down.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\chcha\Escritorio\Dictionary-app\src\assets\images\icon-moon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\chcha\Escritorio\Dictionary-app\src\assets\images\icon-new-window.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\chcha\Escritorio\Dictionary-app\src\assets\images\icon-play.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\chcha\Escritorio\Dictionary-app\src\assets\images\icon-search.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\chcha\Escritorio\Dictionary-app\src\assets\images\wait-search.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\chcha\Escritorio\Dictionary-app\src\components\ChangeThemeButton.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\chcha\Escritorio\Dictionary-app\src\components\ListFonts.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 65, 7, 72
"c:\Users\chcha\Escritorio\Dictionary-app\src\components\SearchBar.jsx", "JavaScript JSX", 0, 0, 44, 0, 0, 0, 0, 0, 9, 53
"c:\Users\chcha\Escritorio\Dictionary-app\src\context\Search.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\chcha\Escritorio\Dictionary-app\src\context\TypeFont.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\chcha\Escritorio\Dictionary-app\src\index.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\chcha\Escritorio\Dictionary-app\src\main.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\chcha\Escritorio\Dictionary-app\src\utils\prefersScheme.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\chcha\Escritorio\Dictionary-app\tailwind.config.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 1, 1, 21
"c:\Users\chcha\Escritorio\Dictionary-app\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 61, 3, 320, 8, 19, 4973, 16, 72, 82, 5554
